	url	title
245	/wiki/Battle_of_Andros_(246_BC)	Battle of Andros (246 BC)
246	/wiki/Battle_of_the_Aegates_Islands	Battle of the Aegates Islands
247	/wiki/Battle_of_the_Bagradas_River_(239_BC)	Battle of the Bagradas River (239 BC)
248	/wiki/Battle_of_%22The_Saw%22	"Battle of ""The Saw"""
249	/wiki/Battle_of_Utica	Battle of Utica
250	/wiki/Battle_of_Dyme	Battle of Dyme
251	/wiki/Battle_of_Faesulae	Battle of Faesulae
252	/wiki/Battle_of_Telamon	Battle of Telamon
253	/wiki/Battle_of_Clastidium	Battle of Clastidium
254	/wiki/Battle_of_Sellasia	Battle of Sellasia
255	/wiki/Siege_of_Saguntum	Siege of Saguntum
256	/wiki/Battle_of_Lilybaeum	Battle of Lilybaeum
257	/wiki/Battle_of_Rhone_Crossing	Battle of Rhone Crossing
258	/wiki/Battle_of_the_Ticinus	Battle of the Ticinus
259	/wiki/Battle_of_the_Trebia	Battle of the Trebia
260	/wiki/Battle_of_Cissa	Battle of Cissa
261	/wiki/Battle_of_Raphia	Battle of Raphia
262	/wiki/Battle_of_Lake_Trasimene	Battle of Lake Trasimene
263	/wiki/Battle_of_Ebro_River	Battle of Ebro River
264	/wiki/Battle_of_Ager_Falernus	Battle of Ager Falernus
265	/wiki/Battle_of_Geronium	Battle of Geronium
266	/wiki/Battle_of_Cannae	Battle of Cannae
267	/wiki/First_Battle_of_Nola	First Battle of Nola
268	/wiki/Battle_of_Dertosa	Battle of Dertosa
269	/wiki/Second_Battle_of_Nola	Second Battle of Nola
270	/wiki/Battle_of_Cornus	Battle of Cornus
271	/wiki/Third_Battle_of_Nola	Third Battle of Nola
272	/wiki/Battle_of_Beneventum_(214_BC)	Battle of Beneventum (214 BC)
273	/wiki/Siege_of_Syracuse_(214%E2%80%93212_BC)	Siege of Syracuse (214–212 BC)
274	/wiki/Battle_of_Tarentum_(212_BC)	Battle of Tarentum (212 BC)
275	/wiki/Battle_of_Capua_(212_BC)	Battle of Capua (212 BC)
276	/wiki/Battle_of_Beneventum_(212_BC)	Battle of Beneventum (212 BC)
277	/wiki/Battle_of_the_Silarus	Battle of the Silarus
278	/wiki/Battle_of_Herdonia	Battle of Herdonia
279	/wiki/Battle_of_the_Upper_Baetis	Battle of the Upper Baetis
280	/wiki/Second_Battle_of_Capua	Second Battle of Capua
281	/wiki/Second_Battle_of_Herdonia	Second Battle of Herdonia
282	/wiki/Battle_of_Numistro	Battle of Numistro
283	/wiki/First_Battle_of_Lamia	First Battle of Lamia
284	/wiki/Second_Battle_of_Lamia	Second Battle of Lamia
285	/wiki/Battle_of_Canusium	Battle of Canusium
286	/wiki/Battle_of_Tarentum_(209_BC)	Battle of Tarentum (209 BC)
287	/wiki/Battle_of_Baecula	Battle of Baecula
288	/wiki/Siege_of_Bactra	Siege of Bactra
289	/wiki/Battle_of_the_Arius	Battle of the Arius
290	/wiki/Battle_of_Grumentum	Battle of Grumentum
291	/wiki/Battle_of_Julu	Battle of Julu
292	/wiki/Battle_of_the_Metaurus	Battle of the Metaurus
293	/wiki/Battle_of_Cartagena_(207_BC)	Battle of Cartagena (207 BC)
294	/wiki/Battle_of_Mantinea_(207_BC)	Battle of Mantinea (207 BC)
295	/wiki/Battle_of_Ilipa	Battle of Ilipa
296	/wiki/Battle_of_Jingxing	Battle of Jingxing
297	/wiki/Battle_of_Tao_River	Battle of Tao River
298	/wiki/Battle_of_Crotona	Battle of Crotona
299	/wiki/Battle_of_Utica_(204_BC)	Battle of Utica (204 BC)
300	/wiki/Battle_of_Wei_River	Battle of Wei River
301	/wiki/Battle_of_Utica_(203_BC)	Battle of Utica (203 BC)
302	/wiki/Battle_of_Bagbrades	Battle of Bagbrades
303	/wiki/Battle_of_Cirta	Battle of Cirta
304	/wiki/Battle_of_Zama	Battle of Zama
305	/wiki/Battle_of_Gaixia	Battle of Gaixia
306	/wiki/Battle_of_Chios_(201_BC)	Battle of Chios (201 BC)
307	/wiki/Battle_of_Lade_(201_BC)	Battle of Lade (201 BC)
308	/wiki/Battle_of_Cremona_(200_BC)	Battle of Cremona (200 BC)
309	/wiki/Battle_of_Baideng	Battle of Baideng
310	/wiki/Battle_of_Panium	Battle of Panium
311	/wiki/Battle_of_the_Aous_(198_BC)	Battle of the Aous (198 BC)
312	/wiki/Battle_of_Cynoscephalae	Battle of Cynoscephalae
313	/wiki/Battle_of_Mutina_(194_BC)	Battle of Mutina (194 BC)
314	/wiki/Battle_of_Gythium	Battle of Gythium
315	/wiki/Battle_of_Thermopylae_(191_BC)	Battle of Thermopylae (191 BC)
316	/wiki/Battle_of_the_Eurymedon_(190_BC)	Battle of the Eurymedon (190 BC)
317	/wiki/Battle_of_Myonessus	Battle of Myonessus
318	/wiki/Battle_of_Magnesia	Battle of Magnesia
319	/wiki/Battle_of_Mount_Olympus	Battle of Mount Olympus
320	/wiki/Battle_of_Callicinus	Battle of Callicinus
321	/wiki/Battle_of_Pydna	Battle of Pydna
322	/wiki/Battle_of_Wadi_Haramia	Battle of Wadi Haramia
323	/wiki/Battle_of_Beth_Horon_(166_BC)	Battle of Beth Horon (166 BC)
324	/wiki/Battle_of_Emmaus	Battle of Emmaus
